LINUX 	NONE 	ANDROID 	4.0.3 	SAFARI 	4.0 	MOBILE TELESYSTEMS, OJSC 	MOBILE TELESYSTEMS, OJSC 	NOT FOUND 	RU 	EBF04D9A-679B-11E1-8EE9-00163E0300C1 	SERF 	NIGHT
NONE 	NONE 	NONE 	NONE 	OPERA 	11.10 	NONE 	OPERA SOFTWARE ASA 	NOT FOUND 	US 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	NONE_REF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	OJSC NORTH-WEST TELECOM 	SAINT PETERSBURG CITY 	RU 	803B5798-C28C-11E0-8FD9-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	4.0 	NONE 	VAT 'AK SATER 	NOT FOUND 	UA 	1840FE16-E724-11DF-A961-00163E0300C1 	NONE_REF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	JSC UKRTELECOM 	JSC UKRTELECOM 	NOT FOUND 	UA 	933E6DCC-D132-469C-9ACD-5BED15F36B9F 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	NONE 	NOT FOUND 	NOT FOUND 	ED640474-3D06-11E1-BE4B-00163E0301C1 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	C7E05D12-53D9-11E1-9BC9-00163E0300C1 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	ZAT INDUSTRIAL MEDIA NETWORK 	KYYIV 	UA 	C7E05D12-53D9-11E1-9BC9-00163E0300C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	SCIENCE-PRODUCTION ASSOCIATION INFORMATION TECHNOL 	NOT FOUND 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	12.00 	VINNITSA, UKRAINE 	DOMASHNYA MEREZHA LLC 	KYYIV 	UA 	D4F72040-67F8-11DF-9C8D-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	VOLIA ISP 	VOLIA SUBNET 	NOT FOUND 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	SERF 	NIGHT
LINUX 	NONE 	ANDROID 	3.2 	OPERA 	12.00 	NONE 	LINK 	MOSKVA 	RU 	B65179AC-B4C6-11E1-821C-00163E0301C1 	SERF 	NIGHT
WINDOWS 	NT 6.2 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	NFS TELECOM 	MOSCOW CITY 	RU 	803B5798-C28C-11E0-8FD9-00163E0301C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	NONE 	NOT FOUND 	UA 	3F957452-C660-11E1-9F5A-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	NONE 	NOT FOUND 	UA 	3F957452-C660-11E1-9F5A-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	9.0.597.98 	VOLIA ISP 	VOLIA RIVNE NETWORK 	NOT FOUND 	UA 	87D8AD92-CCD7-11E1-93F0-00163E0300C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	NONE 	NOT FOUND 	UA 	3F957452-C660-11E1-9F5A-00163E0300C1 	SERCH 	NIGHT
LINUX 	NONE 	UBUNTU 	MOZILLA/5.0 	FIREFOX 	11.0 	NONE 	FREGAT 	DNIPROPETROVS'KA OBLAST' 	UA 	933E6DCC-D132-469C-9ACD-5BED15F36B9F 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	C7E05D12-53D9-11E1-9BC9-00163E0300C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	3.6.13 	NONE 	YALTA-TV KOM LTD. 	KRYM 	UA 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	FIREFOX 	12.0 	VOLIA ISP 	VOLIA SUBNET 	KYYIV 	UA 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	KRYMTEL LTD. 	NOT FOUND 	UA 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERF 	NIGHT
WINDOWS 	PHONE OS 7.5 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	NONE 	STAVROPOL BRANCH OF PJSC STC 	STAVROPOL' 	RU 	A0450D36-51A3-11E0-8F2F-00163E0300C1 	NONE_REF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	11.10 	NONE 	TENET NETWORKING CENTRE 	ODES'KA OBLAST' 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	SERF 	NIGHT
LINUX 	NONE 	ANDROID 	2.3.3 	SAFARI 	4.0 	NONE 	ZHILYNSKY PAVEL VLADIMIROVICH 	NOT FOUND 	UA 	7DC2B17E-F31E-11E0-81BF-00163E0300C1 	SERCH 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.1 	NONE 	SCIENTIFIC PRODUCTION COMPANY HORS-TELECOM LTD 	NOT FOUND 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	TOV TRK BRIZ 	NOT FOUND 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	TORBA DMYTRO SERGIOVICH 	NOT FOUND 	UA 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	17.0.963.46 	NONE 	SOUTH TELECOMMUNICATION COMPANY LTD 	NOT FOUND 	UA 	156F0FB6-AD2B-11E0-8657-00163E0301C1 	OTHER 	NIGHT
LINUX 	NONE 	ANDROID 	2.2.1 	SAFARI 	4.0 	OJSC MEGAFON 	MEGAFON-MOSCOW GPRS POOL 	MOSCOW CITY 	RU 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	BRAVOPORT 	NOT FOUND 	UA 	4CDE9A8C-0EC6-11E1-B41B-00163E0301C1 	OTHER 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.0.2 	NONE 	BLUEWIN 	GENEVE 	CH 	51ACC916-E316-11E0-99C4-00163E0300C1 	OTHER 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.1 	NONE 	SUMMA TELECOM COMMON ISP NETWORK 	ROSTOV 	RU 	692A65D6-B0C9-11E1-AEB0-00163E0300C1 	SERCH 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.1 	NONE 	SUMMA TELECOM COMMON ISP NETWORK 	ROSTOV 	RU 	692A65D6-B0C9-11E1-AEB0-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	NONE 	EVEREST BROADCASTING COMPANY LTD 	VINNYTS'KA OBLAST' 	UA 	933E6DCC-D132-469C-9ACD-5BED15F36B9F 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	PEOPLE-NET DYNAMIC POOL I 	KYYIV 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
